ticket_id,category,subcategory,original_text,ai_suggested_category,ai_confidence_score,ai_extracted_symptoms
SR000226,Software,Office Suite,"Lost all my recent work in Word after crash, need file recovery.",Unknown,0.7,"{'device_type': 'PC', 'os': None, 'onset': 'récent', 'location': None, 'error_message': ""Crash de l'application""}"
SR000236,Hardware,Desktop,Random freezing and crashes multiple times per day.,Unknown,0.5,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': None}"
SR000245,Hardware,Laptop,Getting blue screen errors on my laptop multiple times per day.,Unknown,0.6,"{'device_type': 'laptop', 'os': None, 'onset': None, 'location': None, 'error_message': 'Blue screen errors'}"
SR000251,Hardware,Desktop,Random freezing and crashes multiple times per day.,Unknown,0.5,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': None}"
SR000262,Software,Antivirus,"URGENT: Computer running very slow, antivirus scan using 100% CPU.",Unknown,0.8,"{'device_type': 'Computer', 'os': None, 'onset': 'Immédiat (signalé comme URGENT)', 'location': None, 'error_message': 'Antivirus scan using 100% CPU'}"
SR000264,Network,WiFi,Need guest WiFi access for clients visiting today at 2 PM.,Unknown,0.7,"{'device_type': 'N/A', 'os': 'N/A', 'onset': '2 PM today', 'location': 'N/A', 'error_message': 'N/A'}"
SR000265,Hardware,Monitor,"Monitor has dead pixels in the center, very distracting.",Unknown,0.7,"{'device_type': 'Monitor', 'os': None, 'onset': None, 'location': None, 'error_message': 'dead pixels'}"
SR000266,Network,VPN,"VPN is extremely slow, file transfers taking forever.",Unknown,0.6,"{'device_type': 'unknown', 'os': 'unknown', 'onset': 'unknown', 'location': 'unknown', 'error_message': 'unknown'}"
SR000271,Software,Office Suite,"Office apps showing 'unlicensed product' error, need activation.",Unknown,0.8,"{'device_type': 'Unknown', 'os': 'Unknown', 'onset': 'Unknown', 'location': 'Unknown', 'error_message': 'unlicensed product'}"
SR000283,Software,Antivirus,"CRITICAL: Antivirus subscription expired, need renewal immediately.",Unknown,0.8,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'N/A', 'location': 'N/A', 'error_message': 'Antivirus subscription expired'}"
SR000287,Network,WiFi,Need guest WiFi access for clients visiting today at 2 PM.,Unknown,0.7,"{'device_type': 'N/A', 'os': 'N/A', 'onset': '2 PM today', 'location': 'N/A', 'error_message': 'N/A'}"
SR000293,Security,Antivirus Alert,"When available: Suspicious activity alerts from security software, need immediate attention.",Antivirus,0.8,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'N/A', 'location': 'N/A', 'error_message': 'Suspicious activity alerts from security software'}"
SR000295,Software,Antivirus,"Antivirus is blocking legitimate work application, need exception added.",Unknown,0.8,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'Antivirus is blocking legitimate work application'}"
SR000302,Software,OS Issues,"Cannot install important software, getting 'administrator rights' error.",Unknown,0.6,"{'device_type': 'unknown', 'os': 'unknown', 'onset': 'unknown', 'location': 'unknown', 'error_message': 'administrator rights'}"
SR000309,Hardware,Desktop,Computer keeps restarting on its own without warning.,Unknown,0.6,"{'device_type': 'Computer', 'os': None, 'onset': None, 'location': None, 'error_message': None}"
SR000319,Hardware,Monitor,Screen resolution is wrong and I can't change it in settings.,Unknown,0.6,"{'device_type': 'unknown', 'os': 'unknown', 'onset': 'unknown', 'location': 'unknown', 'error_message': 'Résolution incorrecte'}"
SR000327,Hardware,Phone,Phone keeps dropping calls after a few minutes.,Unknown,0.6,"{'device_type': 'Phone', 'os': None, 'onset': None, 'location': None, 'error_message': 'Phone keeps dropping calls'}"
SR000350,Hardware,Phone,Need new phone setup for new employee starting tomorrow.,Unknown,0.4,"{'device_type': 'phone', 'os': None, 'onset': 'tomorrow', 'location': None, 'error_message': None}"
SR000368,Hardware,Desktop,URGENT: Random freezing and crashes multiple times per day.,Unknown,0.7,"{'device_type': 'PC', 'os': None, 'onset': None, 'location': None, 'error_message': None}"
SR000373,Software,Browser,"Cannot download files from internet, all downloads fail.",Autres-Reseau,0.4,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'all downloads fail'}"
SR000400,Software,OS Issues,"Urgent: System restore not working, need help reverting recent changes.",Unknown,0.6,"{'device_type': 'PC', 'os': 'Non spécifié', 'onset': 'Récent', 'location': 'Non spécifiée', 'error_message': 'System restore not working'}"
SR000404,Software,OS Issues,Windows update failed and now computer won't start properly.,Unknown,0.7,"{'device_type': 'computer', 'os': 'Windows', 'onset': None, 'location': None, 'error_message': None}"
SR000417,Software,Office Suite,"Lost all my recent work in Word after crash, need file recovery.",Unknown,0.7,"{'device_type': 'PC', 'os': None, 'onset': 'récent', 'location': None, 'error_message': ""Crash de l'application""}"
SR000419,Access Management,New User,EMERGENCY: New hire needs specific application access for customer service role.,Permissions,0.7,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'Nouveau besoin', 'location': 'N/A', 'error_message': 'N/A'}"
SR000420,Security,Permissions,"Cannot access specific folder on shared drive, getting access denied.",Unknown,0.7,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'N/A', 'location': 'Lecteur partagé', 'error_message': 'access denied'}"
