id,user_message,expected_category,expected_priority,device_model,location,symptoms
24,"Je n'arrive pas à installer Adobe Acrobat, message d'erreur d'installation",software,low,Adobe Acrobat,,"installation impossible, erreur"
25,"Le switch réseau de l'étage 3 a tous ses voyants en orange",network,high,,"Étage 3","voyants orange, switch réseau"
26,"Mon disque dur externe fait des clics répétés et n'est pas reconnu",hardware,medium,,"mon bureau","clics disque, non reconnu"
27,"Le firewall bloque l'accès à notre application métier depuis ce matin",network,critical,,"application métier","firewall, accès bloqué"
28,"La webcam Logitech ne fonctionne pas dans Zoom, image noire",hardware,medium,Logitech,,"webcam noire, Zoom"
29,"PowerPoint ne sauvegarde pas mes modifications, message 'erreur de sauvegarde'",software,medium,PowerPoint,,"sauvegarde impossible, erreur"
30,"Le téléphone IP du bureau 402 n'a plus de tonalité",hardware,medium,,Bureau 402,"téléphone IP, pas de tonalité"
31,"Mon compte a été bloqué après 3 tentatives de connexion ratées",software,high,,"compte utilisateur","compte bloqué"
32,"Le routeur WiFi du open space redémarre tout seul plusieurs fois par jour",network,high,,"open space","routeur redémarre"
33,"Impossible d'imprimer en recto-verso, l'option est grisée",printer,low,,"imprimante","recto-verso impossible"
34,"Le logiciel de paie ne calcule pas correctement les heures supplémentaires",software,critical,,"logiciel paie","calcul incorrect"
35,"Mon écran Dell s'éteint et se rallume aléatoirement",hardware,medium,Dell,,"écran s'éteint aléatoirement"
36,"La connexion RDP vers le serveur termine avec 'Accès refusé'",network,high,,"serveur RDP","RDP accès refusé"
37,"Le toner de l'imprimante HP est neuf mais affiche toujours 'vide'",printer,low,HP,,"toner affiché vide"
38,"Le ventilateur du serveur fait un bruit de tracteur",hardware,high,,"salle serveur","ventilateur bruyant"
39,"Impossible de partager mon écran dans Google Meet",software,medium,Google Meet,,"partage écran impossible"
40,"Le badge d'accès ne fonctionne plus sur aucune porte",other,medium,,"badge accès","badge ne fonctionne pas"
41,"Mon SSD est détecté mais Windows dit 'aucun système d'exploitation trouvé'",hardware,critical,,"mon PC","SSD, pas d'OS"
42,"L'antivirus bloque tous les fichiers .exe même les légitimes",software,high,,"antivirus","blocage fichiers exe"
43,"Le scanner de la photocopieuse envoie les documents à la mauvaise adresse email",printer,medium,,"photocopieuse","scanner, mauvaise adresse"
44,"Je reçois des messages de phishing qui passent le filtre antispam",network,medium,,"emails","phishing, antispam"
45,"Le clavier de mon laptop a plusieurs touches qui ne fonctionnent plus",hardware,high,,"laptop","touches clavier cassées"
46,"La sauvegarde automatique ne s'exécute plus depuis 5 jours",software,critical,,"sauvegarde","sauvegarde automatique arrêtée"
47,"Mon compte OneDrive dit 'quota dépassé' mais il reste de l'espace",software,medium,OneDrive,,"quota dépassé erreur"
48,"Le port USB 3.0 de mon PC ne détecte aucun périphérique",hardware,medium,,"mon PC","port USB ne fonctionne pas"
49,"Slack me déconnecte toutes les heures",software,low,Slack,,"déconnexions fréquentes"
50,"L'écran tactile de la tablette Surface ne répond plus au toucher",hardware,high,Surface,,"écran tactile ne répond pas"
